TC ID,Module/Screen,Title,Preconditions,Test Steps,Test Data,Expected Result,Type,Priority,Status,Remarks
AUTH15,Login Screen,OTP Input UI,User on Confirmation tab,Load OTP input screen,"Email:admin@email.com
Password:password",4 OTP input boxes displayed with focus on first box,UI,Medium,Passed,4 OTP input boxes displayed with focus on first box
AUTH16,Login Screen,OTP Input Validation,User on Confirmation tab,Enter invalid characters,"Email:admin@email.com
Password:password,OTP:ade-",Only A-Z and 0-9 allowed; invalid chars rejected,UI,Medium,Passed,Only A-Z and 0-9 allowed; invalid chars rejected
AUTH12,Login Screen,OTP Auto-focus,User on Confirmation tab,Enter valid character,"Email:admin@email.com
Password:password,OTP:adeb",Focus moves to next input box automatically,UI,Low,Passed,Focus moves to next input box automatically
AUTH13,Login Screen,OTP Backspace,User on Confirmation tab,Press backspace on empty field,"Email:admin@email.com
Password:password,OTP:abcd",Focus moves to previous input box,UI,Low,Passed,Focus moves to previous input box
AUTH14,Login Screen,Resend OTP Timer,User on Confirmation tab,Wait for countdown,"Email:admin@email.com
Password:password",Countdown from 20 seconds; Resend button disabled until 0,UI,Medium,Passed,Countdown from 20 seconds; Resend button disabled until 0
AUTH17,Login Screen,Keyboard Navigation,User on any tab,Press Enter key,"Email:admin@email.com
Password:password",Triggers appropriate action for current tab (Next/Send OTP/Login),UI,Low,Passed,Triggers appropriate action for current tab (Next/Send OTP/Login)
AUTH18,Logout Functionality,Manual Logout,User clicks logout,Call logout function,"Email:admin@email.com
Password:password",localStorage cleared + redirect to login + isAuthenticated=false,Functional,High,Passed,localStorage cleared + redirect to login + isAuthenticated=false
FPASS01,Forgot Password Modal,Open Modal,User on login screen,Click 'Forgot Password' link,,Forgot Password modal opens with 3-step tabs (Details/OTP/Set New Password),UI,High,Passed,Forgot Password modal opens with 3-step tabs (Details/OTP/Set New Password)
FPASS02,Forgot Password Modal,Modal TitleModal opened,,Check modal header,Forgot Password,Title displays 'Forgot Password',UI,Low,Passed,Title displays 'Forgot Password'
FPASS03,Forgot Password Details,Tab UI,Step 1 - Details tab,Check form elements,Or,Mobile number and Email input fields with 'Or' separator displayed,UI,Medium,Passed,Mobile number and Email input fields with 'Or' separator displayed
FPASS04,Forgot Password Details,Mobile Number Input,Details tab active,Enter mobile number,mobile:6476437332,Mobile number entered and stored,UI,Medium,Passed,Mobile number entered and stored
FPASS05,Forgot Password Details,Email Input,Details tab active,Enter email address,Email:admin@email.com,Email entered and stored + check flag set to true,UI,Medium,Passed,Email entered and stored + check flag set to true
FPASS06,Forgot Password Details,Both Inputs Filled,Details tab active,Enter both mobile and email,"mobile:7686438677
Email:admin@email.com",Both inputs accepted + email takes precedence (check=true),UI,Medium,Passed,Both inputs accepted + email takes precedence (check=true)
FPASS07,Forgot Password Details,Next Button State,No input provided,Check Next button,"mobile=""''; email=""''",Next button disabled,UI,Medium,Passed,Next button disabled
FPASS08,Forgot Password OTP,Tab Navigation,Successfully sent OTP,System navigates to OTP tab,"mobile:7686438677
Email:admin@email.com",OTP tab active + 4 input boxes displayed + countdown timer starts,UI,Medium,Passed,OTP tab active + 4 input boxes displayed + countdown timer starts
FPASS09,Forgot Password OTP,Email Display,OTP tab active,Check email display,"email:admin@email.com
masked_email:adm********@email.com",Email displayed as 'use********@domain.com',UI,Low,Passed,Email displayed as 'use********@domain.com'
FPASS10,Forgot Password OTP,OTP Input Validation,OTP tab active,Enter invalid characters,"email:admin@email.com
OTP:abc_",Only A-Z and 0-9 allowed; invalid chars rejected,UI,Medium,Failed,Expected: Only A-Z and 0-9 allowed; invalid chars rejected | Actual: 
FPASS11,Forgot Password OTP,OTP Auto-focus,OTP tab active,Enter valid character,"email:admin@email.com
OTP:abcd",Focus automatically moves to next input box,UI,Low,Passed,Focus automatically moves to next input box
FPASS12,Forgot Password OTP,OTP Backspace Navigation,OTP tab active,Press backspace on empty field,"email:admin@email.com
OTP:abcd",Focus moves to previous input box,UI,Low,Passed,Focus moves to previous input box
FPASS13,Forgot Password OTP,Next Button State,Incomplete OTP,Check Next button state,"email:admin@email.com
OTP:abcd",Next button disabled until all 4 digits entered,UI,Medium,Failed,Expected: Next button disabled until all 4 digits entered | Actual: Next button enabled
FPASS14,Forgot Password OTP,Countdown Timer,OTP tab loaded,Check timer functionality,email:admin@email.com,20-second countdown displays + Resend button disabled,UI,Medium,Failed,Expected: 20-second countdown displays + Resend button disabled | Actual: Resend enabled too early
FPASS15,Forgot Password OTP,Resend OTP Timer,Timer at 0,Wait for countdown to complete,email:admin@email.com,Resend OTP button becomes enabled,UI,Medium,Passed,Resend OTP button becomes enabled
FPASS16,Forgot Password OTP,Back Button,OTP tab active,Click Back button,email:admin@email.com,Navigate back to Details tab + OTP cleared,UI,Medium,Passed,Navigate back to Details tab + OTP cleared
FPASS17,Set New Password,Tab UI,Successfully verified OTP,Navigate to Set New Password tab,email:admin@email.com,New Password and Confirm Password fields displayed with eye toggles,UI,Medium,Failed,Expected: New Password and Confirm Password fields displayed with eye toggles | Actual: Set New Password tab not visible
FPASS18,Set New Password,Password Input,Password tab active,Enter new password,"Email:admin@email.com
Password:P@ssword1234",Password entered and masked by default,UI,Medium,Failed,Expected: Password entered and masked by default | Actual: Toggle failed
FPASS19,Set New Password,Confirm Password Input,Password entered,Enter confirm password,"Email:admin@email.com
Password:P@ssword1234
confirmpassword:P@ssword1234",Confirm password entered,UI,Medium,Passed,Confirm password entered
FPASS20,Set New Password,Password Mismatch,Different passwords entered,Enter different passwords,"Email:admin@email.com
Password:P@ssword1234
confirmpassword:Password1234",Form validation shows passwords don't match + button disabled,UI,Medium,Passed,Form validation shows passwords don't match + button disabled
FPASS21,Set New Password,Password Toggle,Passwords entered,Click eye icon,"Email:admin@email.com
Password:P@ssword1234
confirmpassword:Password1234",Password visibility toggles between text/password for both fields,UI,Low,Not Executed,
FPASS22,Set New Password,Register Button State,Empty passwords,Check button state,"Email:admin@email.com
Password:""""
confirmpassword:""""",Register button disabled,UI,Medium,Not Executed,
FPASS23,Set New Password,Back Button,Password tab active,Click Back button,Email:admin@email.com,Navigate back to OTP tab + password fields cleared,UI,Medium,Not Executed,
FPASS24,Forgot Password Modal,Modal Close Button,Modal opened,Click X close button,,Modal closes + all form data cleared + returns to login,UI,Medium,Not Executed,
FPASS25,Password Success Modal,Success Display,Password reset successful,API returns success,"Email:admin@email.com
Password:password
confirmpassword:password",PasswordSuccess modal opens with success message,UI,Medium,Not Executed,
FPASS26,Password Success Modal,Success Modal Close,Success modal open,Close success modal,"Email:admin@email.com
Password:password
confirmpassword:password",Success modal closes + return to login screen,UI,Medium,Not Executed,
FPASS27,Forgot Password Modal,Escape Key,Modal open,Press Escape key,,Modal remains open (escape key disabled for security),UI,Low,Not Executed,
FPASS28,Forgot Password Modal,Modal Backdrop Click,Modal open,Click outside modal area,,Modal remains open (backdrop click disabled for security),UI,Low,Not Executed,
,,,,,,,,,,
PERSONNEL,,,,,,,,,,
PERS02,Add Personnel,Personnel Details,Add personnel modal,Fill personal information,"Email:admin@email.com,password:password,firstname:Johns,lastname:Doe,email:john123456@email.com, phone:8765987654,emailid:johns123456,address:hyderabad",Personal details saved,Functional,High,Passed,Personal details saved
PERS03,Add Personnel,Profile Selection,Details completed,Select personnel profile type,"Email:admin@email.com,password:password,profileType:Governance",Profile type selected,Functional,High,Passed,Profile type selected
PERS04,Add Personnel,Jurisdiction Selection,Profile selected,Choose jurisdiction,"Email:admin@email.com,password:password,profileType:Governance",Jurisdiction assigned,Functional,High,Passed,Jurisdiction assigned
PERS05,Add Personnel,Institution Assignment,Jurisdiction selected,Assign to institution,"Email:admin@email.com,password:password,institution:Telangana Traffic Police",Institution assignment completed,Functional,High,Passed,Institution assignment completed
PERS06,Edit Personnel,Update Details,Personnel exists,Modify personnel information,"Email:admin@email.com,password:password,search_name:john,name:Doeee",Personnel details updated,Functional,High,Passed,Personnel details updated
PERS07,View Personnel,Personnel Profile,Personnel exists,Open personnel view,"Email:admin@email.com,password:password,search_name:john,name:Doeee",Complete personnel profile displayed,UI,Medium,Passed,Complete personnel profile displayed
,,,,,,,,,,
# GOVERNANCE MANAGEMENT MODULE,,,,,,,,,,
GOV01,Add Governance,Governance Body Details,Add governance modal,Fill governance body info,"email:admin@email.com,password:password,locationIndices:1|0|0|0,MinistryFile:uploads/governanceV5/ministryV5.csv",Governance body details saved,Functional,High,Passed,Ministry file uploaded successfully
GOV02,Add Governance,Role Details,Body details completed,Define governance roles,"email:admin@email.com,password:password,locationIndices:1|0|0|0,MinistryFile:uploads/governanceV5/ministryV5.csv,RolesFile:uploads/governanceV5/rolesV6.csv",Governance roles created,Functional,High,Passed,Governance roles created
GOV03,Add Governance,Personnel Details,Roles defined,Add personnel to governance,"email:admin@email.com,password:password,locationIndices:1|0|0|0,MinistryFile:uploads/governanceV5/ministryV5.csv,RolesFile:uploads/governanceV5/rolesV6.csv,OfficersFile:uploads/governanceV5/officersV5.csv",Personnel added to governance body,Functional,High,Passed,Governance roles created
GOV04,Add Governance,Role-Personnel Mapping,Personnel added,Map roles to personnel,"email:admin@email.com,password:password,locationIndices:1|0|0|0,MinistryFile:uploads/governanceV5/ministryV5.csv,RolesFile:uploads/governanceV5/rolesV6.csv,OfficersFile:uploads/governanceV5/officersV5.csv,DropdownSelections:0|1|0|0",Role assignments completed,Functional,High,Failed,"Expected: Governance roles created | Actual: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("".MuiAutocomplete-popupIndicator"").first
"
GOV05,Edit Governance,Update Body Details,Governance exists,Modify governance information,"email:admin@email.com,password:password,locationIndices:1|0|0|0,UpdatedMinistryFile: uploads/governanceV5/updatedministryV5.csv",Governance body updated,Functional,High,Passed,Governance body updated
GOV06,Edit Governance,Role Management,Governance exists,Add/edit governance roles,"email:admin@email.com,password:password,locationIndices:1|0|0|0,UpdatedMinistryFile:uploads/governanceV5/updatedministryV5.csv,RolesFile:uploads/governanceV5/updatedrolesV6.csv,RolesAssignments:Chief Minister|Rajendra Bhosale;Deputy Chief Minister|Swati Sameer Wadke;Municipal Minister|Anil Muley;Home Minister|Milind Sabnis",Governance roles updated,Functional,Medium,Failed,"Expected: Governance roles updated | Actual: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role(""button"", name=""Submit"")
"
GOV07,View Governance,Governance Overview,Governance exists,Open governance view,"email:admin@email.com,password:password,locationIndices:1|0|0|0",Complete governance structure displayed,UI,Medium,Passed,Complete governance structure displayed
,,,,,,,,,,
# PARTY MANAGEMENT MODULE,,,,,,,,,,
PARTY01,Add Party,Party Details,Add party modal,Fill party information,"email:admin@email.com,password:password,partylogo:uploads/partylogos/tdp.jpg,party_name:telugu desham party,country:India,state:AndhraPradesh,district:Kurnool,city:KurnoolCity",Party created successfully,Functional,High,Passed,Party created successfully
PARTY02,Edit Party,Update Party,Party exists,Modify party details,"email:admin@email.com,password:password,partylogo:uploads/partylogos/tdp.jpg,party_name:telugu desham party(TDP),country:India,state:AndhraPradesh,district:Kurnool,city:KurnoolCityname=Updated Party",Party details updated,Functional,High,Passed,Party details updated
PARTY03,View Party,Party Profile,Party exists,Open party view modal,"email:admin@email.com,password:password,partylogo:uploads/partylogos/tdp.jpg,country:India,state:AndhraPradesh,district:Kurnool,city:KurnoolCity",Complete party information displayed,UI,Medium,Passed,Complete party information displayed
,,,,,,,,,,
# NON-HIERARCHY MANAGEMENT MODULE,,,,,,,,,,
NON02,Add Non-Hierarchy Rep,Representative Setup,Add non-hierarchy modal,Create non-hierarchical representative,"email:admin@email.com,password:password,indexes:[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",Non-hierarchy representative created,Functional,High,Passed,Non-hierarchy representative created
NON03,search non hierarchy,Representative Setup,non-hierarchy modal,"to search based on country,state etc","email:admin@email.com,password:password,search:kiran",Non-hierarchy representative created,Functional,High,Passed,Non-hierarchy representative created
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
# HIERARCHY MANAGEMENT MODULE,,,,,,,,,,
HIER01,Add Representative,"to search the hierarchy based on country,state,city etc",Add hierarchy modal,Fill representative info,"email:admin@email.com,password:password,indexes:1,0,0,0",successfully hierarchy representative search,Functional,High,Passed,successfully hierarchy representative search
HIER02,Add Representative,Personnel Details,Add hierarchy modal,Fill representative info,"email:admin@email.com,password:password,indexes:[1,0,0,0,0,0,0,0,0,0]",Representative details saved,Functional,High,Passed,Representative details saved
HIER03,Add Representative,Jurisdiction Details,Role defined,Assign jurisdiction,"email:admin@email.com,password:password,indexes:[0,0]",Jurisdiction assigned to representative,Functional,High,Passed,Jurisdiction assigned to representative
HIER04,Add Representative,Geofence Details,Jurisdiction set,Upload representative geofence,"email:admin@email.com,password:password,indexes:[1,1]",Representative area boundaries set,Functional,High,Passed,Representative area boundaries set
HIER05,Add Representative,Role Details,Personnel filled,Define hierarchical role,"email:admin@email.com,password:password,indexes:[1,1]",Hierarchical role defined,Functional,High,Passed,Hierarchical role defined
HIER06,Add Representative,Role-Personnel Mapping,Geofence uploaded,Map role to personnel,"email:admin@email.com,password:password,indexes:[1,1]",Role assignment completed,Functional,High,Passed,Role assignment completed
HIER07,View Hierarchy,Summary View,Representative exists,Open hierarchy summary,"email:admin@email.com,password:password",Complete hierarchy structure displayed,UI,Medium,Passed,Complete hierarchy structure displayed
